Monastery,Latitude,Longitude,City,Country,Administrative Region,Historical Region,Starting,Ending,Monastery_index
Cistercians,47.13,15.28,Seckau,Austria,Steiermark,STYRIA (AUSTRIA),1130,1958,0
Cistercians,48.05,16.13,Vienne,Austria,Niederoesterreich,STYRIA (AUSTRIA),1135,2011,0
Cistercians,48.61,15.2,Sanct Pölten,Austria,Niederoesterreich,STYRIA (AUSTRIA),1138,2011,0
Cistercians,48.2,14.74,Linz,Austria,Oberoesterreich,STYRIA (AUSTRIA),1142,1784,0
Cistercians,48.32,14.17,Linz,Austria,Oberoesterreich,STYRIA (AUSTRIA),1146,1945,0
Cistercians,48.01,15.59,St.Pölten,Austria,Niederoesterreich,STYRIA (AUSTRIA),1202,1790,0
Cistercians,48.5,13.73,Linz,Austria,Oberoesterreich,STYRIA (AUSTRIA),1295,1925,0
Cistercians,47.66,15.57,Seckau,Austria,Steiermark,STYRIA (AUSTRIA),1327,1786,0
Cistercians,48.19,15.11,Sanhippolytensi,Austria,Niederoesterreich,STYRIA (AUSTRIA),1338,1798,0
Cistercians,47.93,14.12,Linz,Austria,Oberoesterreich,STYRIA (AUSTRIA),1355,2011,0
Cistercians,47.81,16.24,Wien,Austria,Niederoesterreich,STYRIA (AUSTRIA),1444,2011,0
Cistercians,46.58,14.26,Klagenfurt,Austria,Kaernten,TYROLE-TRENTINO-ALTO-ADIGE ,1142,1786,0
Cistercians,47.27,10.98,Innsbruck,Austria,Tirol,TYROLE-TRENTINO-ALTO-ADIGE ,1173,1946,0
Cistercians,50.36,4.33,Tournay,Belgium,Hainaut,REGION WALLONNE,1098,1794,0
Cistercians,49.63,5.34,Trèves,Belgium,Luxembourg ,REGION WALLONNE,1098,1927,0
Cistercians,49.78,5.06,Bouillon,Belgium,Luxembourg ,REGION WALLONNE,1132,1791,0
Cistercians,50.59,4.52,Namur,Belgium,Brabant Walloon,REGION WALLONNE,1146,1797,0
Cistercians,50.58,3.88,Cambrai,Belgium,Hainaut,REGION WALLONNE,1148,1796,0
Cistercians,50.69,5.8,Liège,Belgium,Liege,REGION WALLONNE,1180,1840,0
Cistercians,50.59,5.48,Liège,Belgium,Liege,REGION WALLONNE,1202,1797,0
Cistercians,50.31,4.86,Liége,Belgium,Namur ,REGION WALLONNE,1230,1787,0
Cistercians,50.41,5.01,Namur,Belgium,Namur ,REGION WALLONNE,1231,1796,0
Cistercians,50.45,5.85,Namur,Belgium,Namur ,REGION WALLONNE,1430,1793,0
Cistercians,50.66,4.31,Malines,Belgium,Brabant Walloon,REGION WALLONNE,1441,1783,0
Cistercians,50.41,5.01,Namur,Belgium,Namur ,REGION WALLONNE,1461,1794,0
Cistercians,50.31,4.86,Liége,Belgium,Namur ,REGION WALLONNE,1464,1887,0
Cistercians,51.28,3.21,Brugensi,Belgium,West-Vlaanderen,VLAAMS GEWEST,1106,1624,0
Cistercians,51.1,2.63,Iprivensi,Belgium,West-Vlaanderen,VLAAMS GEWEST,1107,1796,0
Cistercians,51.18,3.99,Tournai,Belgium,Oost-Vlaanderen,VLAAMS GEWEST,1199,1797,0
Cistercians,51.13,4.33,Anvers,Belgium,Antwerpen,VLAAMS GEWEST,1237,1796,0
Cistercians,51.41,5.15,S. Bernardus,Belgium,West-Vlaanderen,VLAAMS GEWEST,1243,1789,0
Cistercians,51.18,3.99,Tournai,Belgium,Oost-Vlaanderen,VLAAMS GEWEST,1446,2011,0
Cistercians,49.1,17.39,Olmutz,Czech Republic,Střední Morava,EASTERN CZECH REPUBLIC,1205,1784,0
Cistercians,49.58,15.93,Olomouc,Czech Republic,Jihovýchod,EASTERN CZECH REPUBLIC,1252,1784,0
Cistercians,49.21,17.85,Otomouc,Czech Republic,Střední Morava,EASTERN CZECH REPUBLIC,1262,1482,0
Cistercians,49.97,14.39,Praha,Czech Republic,Jihovýchod,EASTERN CZECH REPUBLIC,1292,1785,0
Cistercians,49.96,15.29,Praha,Czech Republic,Střední Čechy,WESTERN CZECH REPUBLIC,1143,1784,0
Cistercians,49.5,13.57,Praha,Czech Republic,Jihozápad,WESTERN CZECH REPUBLIC,1145,1420,0
Cistercians,49.93,13.39,Praha,Czech Republic,Jihozápad,WESTERN CZECH REPUBLIC,1145,1785,0
Cistercians,50.23,16.04,Praha,Czech Republic,Střední Čechy,EASTERN CZECH REPUBLIC,1157,1420,0
Cistercians,50.52,14.94,Klášter Hradiště,Czech Republic,Střední Čechy,WESTERN CZECH REPUBLIC,1177,1420,0
Cistercians,50.62,13.69,Leitmeritz,Czech Republic,Severozápad,WESTERN CZECH REPUBLIC,1194,1991,0
Cistercians,48.6,14.3,Budweis,Czech Republic,Jihozápad,WESTERN CZECH REPUBLIC,1259,2011,0
Cistercians,48.85,14.36,Bodovice,Czech Republic,Jihozápad,WESTERN CZECH REPUBLIC,1263,1785,0
Cistercians,50.02,14.98,Praha,Czech Republic,Praha,WESTERN CZECH REPUBLIC,1357,1783,0
Cistercians,46.24,6.64,Annecy,France,Rhône-Alpes ,EASTERN FRANCE,1098,1791,0
Cistercians,46.72,5.85,Saint-Claude,France,Franche-Comte,EASTERN FRANCE,1107,1791,0
Cistercians,46.78,6.27,Chézery-Mont-Sainte-Marie,France,Rhône-Alpes ,EASTERN FRANCE,1119,1791,0
Cistercians,45.45,5.15,Vienne,France,Rhône-Alpes ,EASTERN FRANCE,1119,1791,0
Cistercians,47.4,6.12,Besançon,France,Franche-Comte,EASTERN FRANCE,1120,1830,0
Cistercians,44.72,4.08,Viviers,France,Rhône-Alpes ,EASTERN FRANCE,1120,1791,0
Cistercians,45.75,5.83,Chambéry,France,Rhône-Alpes ,EASTERN FRANCE,1121,1790,0
Cistercians,47.42,7.24,Bâte,France,Alsace,EASTERN FRANCE,1124,1792,0
Cistercians,49.16,4.95,Verdun,France,Lorraine,EASTERN FRANCE,1128,1790,0
Cistercians,48.98,5.78,Metz,France,Lorraine,EASTERN FRANCE,1128,1810,0
Cistercians,48.84,7.68,Strasbourg,France,Alsace,EASTERN FRANCE,1131,1791,0
Cistercians,47.78,5.82,Besançon,France,Franche-Comte,EASTERN FRANCE,1131,1790,0
Cistercians,47.54,5.52,Besançon,France,Franche-Comte,EASTERN FRANCE,1131,1791,0
Cistercians,46.95,5.65,Saint-Claude,France,Franche-Comte,EASTERN FRANCE,1132,1791,0
Cistercians,46.54,3.7,Autun,France,Rhône-Alpes ,EASTERN FRANCE,1132,1845,0
Cistercians,47.69,6.36,Besançon,France,Franche-Comte,EASTERN FRANCE,1133,1791,0
Cistercians,47.51,5.93,Besançon,France,Franche-Comte,EASTERN FRANCE,1133,1791,0
Cistercians,48.58,5.43,Toul,France,Lorraine,EASTERN FRANCE,1133,1791,0
Cistercians,49.23,6.36,Metz,France,Lorraine,EASTERN FRANCE,1133,1790,0
Cistercians,45.89,5.58,Belley,France,Rhône-Alpes ,EASTERN FRANCE,1133,2011,0
Cistercians,47.48,6.56,Besançon,France,Franche-Comte,EASTERN FRANCE,1134,1791,0
Cistercians,45.68,6.3,Chambéry,France,Rhône-Alpes ,EASTERN FRANCE,1134,1861,0
Cistercians,48.55,6.53,Nancy,France,Lorraine,EASTERN FRANCE,1135,1790,0
Cistercians,47.26,5.65,Saint-Claude,France,Franche-Comte,EASTERN FRANCE,1136,1873,0
Cistercians,44.91,5.19,Die,France,Rhône-Alpes ,EASTERN FRANCE,1137,1791,0
Cistercians,44.46,4.84,Valence,France,Rhône-Alpes ,EASTERN FRANCE,1137,1816,0
Cistercians,46.15,4.04,Lyon,France,Rhône-Alpes ,EASTERN FRANCE,1138,1791,0
Cistercians,48.12,7.14,Strasbourg,France,Alsace,EASTERN FRANCE,1139,1792,0
Cistercians,47.24,6.34,Besanon,France,Franche-Comte,EASTERN FRANCE,1139,1921,0
Cistercians,48.58,6.92,Nancy,France,Lorraine,EASTERN FRANCE,1140,1791,0
Cistercians,48.89,5.12,Nancy,France,Lorraine,EASTERN FRANCE,1140,1791,0
Cistercians,46.22,5.86,Belley,France,Rhône-Alpes ,EASTERN FRANCE,1140,1791,0
Cistercians,49.05,7.58,Metz,France,Lorraine,EASTERN FRANCE,1143,1790,0
Cistercians,49.16,5.38,Verdun,France,Lorraine,EASTERN FRANCE,1144,1791,0
Cistercians,48.37,7.4,Argentinensi,France,Alsace,EASTERN FRANCE,1148,1530,0
