Tree_ID,Address,Town,Tree_Species,Species_Desc,Common_Name,Age_Desc,Height,Spread,Trunk,Actual_Trunk,Condition,Latitude,Longitude
27092,"Clonard Court, Balbriggan",Balbriggan,ACSA,Acer saccharinum,Silver Maple,Semi-Mature,5.1-10 metres,3 to 6 metres,11cm to 20cm,18cm,Good,53.60632545,-6.186423847
29144,"Ridgewood Avenue, Forrest Great",Swords South,TICO,Tilia cordata,Small-Leafed Lime,Young,Up to 5 metres,Up to 3 metres,1cm - 10cm,10cm,Fair - Poor,53.44746544,-6.247612913
29160,"Ridgewood Avenue, Forrest Great",Swords South,TICO,Tilia cordata,Small-Leafed Lime,Young,Up to 5 metres,Up to 3 metres,11cm to 20cm,11cm,Good,53.44769533,-6.248257629
29400,"Ridgewood Avenue, Forrest Great",Swords South,TICO,Tilia cordata,Small-Leafed Lime,Young,Up to 5 metres,Up to 3 metres,1cm - 10cm,10cm,Good,53.4456057,-6.246236098
246560,"Lanesborough Grove, Saint Margaret's",Santry,TICO,Tilia cordata,Small-Leafed Lime,Young,Up to 5 metres,3 to 6 metres,11cm to 20cm,13cm,Fair to Good,53.40430885,-6.291646081
18012,"Charlestown Drive, Saint Margaret's",Santry,TICO,Tilia cordata,Small-Leafed Lime,Young,5.1-10 metres,3 to 6 metres,11cm to 20cm,14cm,Fair to Good,53.40435336,-6.298600023
18016,"Charlestown Drive, Saint Margaret's",Santry,TICO,Tilia cordata,Small-Leafed Lime,Young,5.1-10 metres,3 to 6 metres,11cm to 20cm,13cm,Good,53.40434968,-6.298486339
3660,"Turvey Avenue, Donabate",Donabate Portra,SOARI,Sorbus aria,Whitebeam,Semi-Mature,5.1-10 metres,3 to 6 metres,11cm to 20cm,19cm,Fair to Good,53.4875028,-6.159071259
1496,"Turvey Drive, Donabate",Donabate Portra,SOAU,Sorbus aucuparia,Rowan (Mountain Ash),Young,5.1-10 metres,6 to 9 metres,11cm to 20cm,13cm,Fair,53.48679922,-6.156067022
41804,"Auburn Grove, Malahide",Malahide,ACPS,Acer pseudoplatanus,Sycamore,Semi-Mature,5.1-10 metres,3 to 6 metres,21cm to 30cm,29cm,Good,53.44514928,-6.17514034
3676,"Turvey Avenue, Donabate",Donabate Portra,SOIN,Sorbus intermedia,Swedish Whitebeam,Semi-Mature,5.1-10 metres,3 to 6 metres,11cm to 20cm,20cm,Fair,53.48727238,-6.158580724
4024,"Glen Ellan Avenue, Swords",Swords North,SOAU,Sorbus aucuparia,Rowan (Mountain Ash),Young,5.1-10 metres,3 to 6 metres,11cm to 20cm,20cm,Fair to Good,53.46740993,-6.228285806
4276,"Glen Ellan Park, Swords",Swords North,ACPL,Acer platanoides,Norway Maple,Young,5.1-10 metres,3 to 6 metres,21cm to 30cm,21cm,Fair to Good,53.46817959,-6.227892147
4280,"Glen Ellan Park, Swords",Swords North,ACPL,Acer platanoides,Norway Maple,Young,5.1-10 metres,6 to 9 metres,11cm to 20cm,18cm,Fair to Good,53.46808563,-6.22784004
48,"Churchfield Close, Skerries",Skerries,PRUSP,Prunus spp.,Cherry,Mature,5.1-10 metres,6 to 9 metres,21cm to 30cm,30cm,Good,53.57310528,-6.106197533
6052,"Glen Ellan Gardens, Swords",Swords North,TICO,Tilia cordata,Small-Leafed Lime,Young,5.1-10 metres,3 to 6 metres,11cm to 20cm,17cm,Good,53.46793303,-6.236118431
26880,"Tara Cove, Balbriggan",Balbriggan,ACPS,Acer pseudoplatanus,Sycamore,Semi-Mature,5.1-10 metres,3 to 6 metres,11cm to 20cm,16cm,Good,53.60666523,-6.190026432
28408,"Ridgewood Close, Swords",Swords South,TISP,Tilia spp.,Lime,Young,Up to 5 metres,Up to 3 metres,1cm - 10cm,10cm,Good,53.44802696,-6.247966254
27232,"Castleview Row, Swords",Swords North,ACCA,Acer campestre,Field Maple,Young,Up to 5 metres,Up to 3 metres,1cm - 10cm,8cm,Good,53.4707398,-6.23655546
29164,"Ridgewood Avenue, Forrest Great",Swords South,TICO,Tilia cordata,Small-Leafed Lime,Young,Up to 5 metres,Up to 3 metres,1cm - 10cm,10cm,Good,53.4477366,-6.248375297
29260,"Ridgewood Avenue, Forrest Great",Swords South,TICO,Tilia cordata,Small-Leafed Lime,Young,Up to 5 metres,Up to 3 metres,11cm to 20cm,11cm,Good,53.44638871,-6.247648075
629620,"Briarwood Avenue, Blanchardstown",Huntstown,AMELA,Amelanchier lamarchii,Serviceberry,Newly Planted,Up to 5 metres,Up to 3 metres,1cm - 10cm,4cm,Good,53.39844964,-6.406122898
